cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength,cement_cat,slag_cat,ash_cat,water_cat,superplastic_cat,coarseagg_cat,fineagg_cat,age_cat
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74,niedrig,hoch,niedrig,mittel,mittel,mittel,hoch,niedrig
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.52,mittel,hoch,niedrig,niedrig,mittel,mittel,hoch,niedrig
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91,hoch,niedrig,niedrig,mittel,niedrig,hoch,hoch,hoch
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,niedrig,hoch,hoch,mittel,mittel,hoch,niedrig,niedrig
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88,niedrig,niedrig,hoch,niedrig,niedrig,mittel,hoch,niedrig
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,mittel,mittel,mittel,niedrig,hoch,hoch,mittel,niedrig
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54,hoch,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41,niedrig,mittel,hoch,niedrig,mittel,hoch,mittel,niedrig
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28,niedrig,niedrig,hoch,niedrig,mittel,mittel,hoch,niedrig
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32,mittel,niedrig,hoch,niedrig,hoch,hoch,mittel,hoch
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42,hoch,niedrig,niedrig,mittel,niedrig,hoch,niedrig,niedrig
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52,niedrig,hoch,mittel,mittel,mittel,mittel,mittel,niedrig
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,hoch,niedrig,niedrig,niedrig,hoch,niedrig,hoch,hoch
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56,61.46,hoch,mittel,mittel,niedrig,hoch,niedrig,hoch,hoch
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2,niedrig,hoch,niedrig,mittel,niedrig,mittel,niedrig,niedrig
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28,40.68,hoch,niedrig,hoch,hoch,hoch,niedrig,mittel,niedrig
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,hoch,hoch,niedrig,mittel,hoch,mittel,mittel,niedrig
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,hoch,mittel,niedrig,niedrig,hoch,niedrig,hoch,niedrig
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.25,niedrig,hoch,niedrig,mittel,niedrig,hoch,niedrig,niedrig
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,39.0,hoch,niedrig,niedrig,mittel,niedrig,mittel,hoch,hoch
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27,mittel,niedrig,hoch,niedrig,hoch,hoch,mittel,hoch
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3,mittel,hoch,niedrig,mittel,mittel,mittel,mittel,niedrig
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,mittel,hoch,hoch,niedrig,hoch,niedrig,niedrig,niedrig
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28,hoch,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67,niedrig,mittel,hoch,niedrig,mittel,hoch,mittel,hoch
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57,hoch,niedrig,niedrig,mittel,niedrig,niedrig,niedrig,niedrig
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,mittel,niedrig,mittel,niedrig,mittel,mittel,hoch,niedrig
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35,mittel,niedrig,mittel,mittel,mittel,mittel,hoch,hoch
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,niedrig,hoch,hoch,mittel,mittel,hoch,niedrig,niedrig
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38,mittel,niedrig,mittel,hoch,mittel,mittel,hoch,niedrig
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34,niedrig,niedrig,hoch,niedrig,mittel,hoch,hoch,hoch
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,hoch,hoch,niedrig,niedrig,hoch,hoch,niedrig,hoch
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,hoch,hoch,niedrig,hoch,niedrig,niedrig,niedrig,hoch
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98,hoch,niedrig,niedrig,hoch,niedrig,mittel,mittel,hoch
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63,mittel,mittel,mittel,hoch,mittel,niedrig,niedrig,niedrig
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3,mittel,niedrig,mittel,mittel,mittel,mittel,hoch,hoch
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04,mittel,niedrig,mittel,niedrig,mittel,mittel,hoch,hoch
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,hoch,hoch,niedrig,mittel,hoch,mittel,niedrig,niedrig
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41,niedrig,hoch,niedrig,mittel,niedrig,mittel,hoch,niedrig
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,hoch,mittel,niedrig,hoch,niedrig,niedrig,niedrig,hoch
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,hoch,mittel,niedrig,niedrig,hoch,niedrig,hoch,niedrig
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92,niedrig,hoch,niedrig,niedrig,mittel,mittel,hoch,niedrig
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08,mittel,niedrig,mittel,niedrig,hoch,mittel,hoch,hoch
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94,hoch,niedrig,niedrig,hoch,niedrig,hoch,niedrig,niedrig
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13,mittel,mittel,hoch,mittel,mittel,niedrig,mittel,niedrig
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,niedrig,hoch,hoch,mittel,mittel,mittel,niedrig,niedrig
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,mittel,mittel,hoch,niedrig,hoch,hoch,mittel,niedrig
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,niedrig,mittel,hoch,niedrig,hoch,hoch,mittel,hoch
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47,niedrig,niedrig,hoch,niedrig,hoch,hoch,mittel,niedrig
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02,niedrig,hoch,niedrig,mittel,niedrig,niedrig,hoch,hoch
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25,mittel,niedrig,niedrig,mittel,niedrig,mittel,hoch,hoch
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06,hoch,niedrig,niedrig,hoch,niedrig,mittel,mittel,hoch
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,12.84,mittel,niedrig,niedrig,hoch,niedrig,mittel,hoch,niedrig
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24,mittel,niedrig,mittel,hoch,hoch,niedrig,mittel,niedrig
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57,hoch,niedrig,niedrig,niedrig,mittel,mittel,hoch,niedrig
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31,niedrig,niedrig,hoch,niedrig,mittel,hoch,hoch,niedrig
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,hoch,hoch,niedrig,niedrig,hoch,mittel,mittel,niedrig
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8,mittel,niedrig,hoch,niedrig,hoch,hoch,mittel,niedrig
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,niedrig,hoch,niedrig,mittel,niedrig,hoch,hoch,niedrig
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,hoch,hoch,niedrig,niedrig,hoch,mittel,mittel,niedrig
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5,niedrig,mittel,hoch,niedrig,mittel,hoch,mittel,niedrig
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,hoch,mittel,niedrig,hoch,niedrig,niedrig,niedrig,hoch
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9,niedrig,hoch,niedrig,hoch,niedrig,mittel,mittel,niedrig
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23,hoch,niedrig,mittel,niedrig,mittel,hoch,niedrig,niedrig
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,hoch,hoch,niedrig,niedrig,hoch,mittel,mittel,niedrig
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,mittel,hoch,niedrig,niedrig,hoch,niedrig,hoch,niedrig
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4,mittel,mittel,mittel,hoch,mittel,niedrig,hoch,niedrig
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,mittel,hoch,niedrig,hoch,niedrig,niedrig,niedrig,hoch
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96,niedrig,hoch,niedrig,mittel,hoch,niedrig,hoch,niedrig
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,hoch,niedrig,niedrig,niedrig,mittel,hoch,niedrig,niedrig
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8,mittel,niedrig,hoch,mittel,mittel,mittel,niedrig,niedrig
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,hoch,niedrig,niedrig,hoch,niedrig,niedrig,niedrig,hoch
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98,mittel,niedrig,hoch,hoch,mittel,hoch,mittel,niedrig
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85,hoch,niedrig,niedrig,hoch,niedrig,niedrig,niedrig,niedrig
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.74,niedrig,niedrig,hoch,hoch,mittel,niedrig,hoch,niedrig
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,14.5,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28,12.18,niedrig,niedrig,hoch,mittel,mittel,mittel,hoch,niedrig
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63,hoch,niedrig,hoch,hoch,hoch,niedrig,mittel,niedrig
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65,hoch,mittel,hoch,niedrig,hoch,mittel,niedrig,niedrig
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68,niedrig,hoch,hoch,mittel,hoch,mittel,niedrig,niedrig
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35,hoch,niedrig,niedrig,mittel,niedrig,mittel,mittel,niedrig
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.13,mittel,niedrig,niedrig,hoch,niedrig,mittel,hoch,niedrig
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79,niedrig,hoch,niedrig,mittel,niedrig,niedrig,niedrig,niedrig
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36,niedrig,hoch,niedrig,mittel,hoch,hoch,niedrig,niedrig
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4,niedrig,hoch,hoch,mittel,mittel,niedrig,hoch,niedrig
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,mittel,niedrig,mittel,mittel,mittel,mittel,hoch,hoch
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36,mittel,niedrig,hoch,niedrig,hoch,mittel,hoch,niedrig
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26,hoch,niedrig,niedrig,mittel,niedrig,mittel,hoch,niedrig
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64,mittel,niedrig,mittel,mittel,mittel,mittel,hoch,hoch
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.79,niedrig,hoch,niedrig,hoch,mittel,niedrig,hoch,niedrig
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94,niedrig,niedrig,hoch,niedrig,hoch,hoch,mittel,niedrig
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07,hoch,mittel,mittel,niedrig,hoch,mittel,niedrig,hoch
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03,niedrig,hoch,niedrig,hoch,mittel,mittel,mittel,niedrig
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19,niedrig,hoch,niedrig,hoch,niedrig,mittel,mittel,hoch
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86,mittel,hoch,niedrig,mittel,niedrig,mittel,niedrig,niedrig
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,hoch,hoch,niedrig,mittel,hoch,mittel,niedrig,niedrig
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,hoch,mittel,niedrig,niedrig,hoch,niedrig,hoch,hoch
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77,niedrig,niedrig,hoch,niedrig,mittel,hoch,mittel,niedrig
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88,mittel,niedrig,hoch,hoch,hoch,niedrig,niedrig,niedrig
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99,mittel,niedrig,niedrig,hoch,niedrig,mittel,hoch,niedrig
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08,mittel,niedrig,niedrig,hoch,niedrig,mittel,hoch,hoch
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22,hoch,niedrig,niedrig,hoch,niedrig,mittel,mittel,niedrig
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34,hoch,mittel,mittel,niedrig,hoch,niedrig,hoch,hoch
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57,niedrig,hoch,niedrig,hoch,niedrig,mittel,niedrig,hoch
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68,hoch,mittel,mittel,niedrig,hoch,niedrig,hoch,niedrig
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88,niedrig,hoch,niedrig,mittel,niedrig,niedrig,hoch,niedrig
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65,niedrig,hoch,hoch,hoch,hoch,niedrig,niedrig,niedrig
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.72,mittel,mittel,mittel,hoch,mittel,niedrig,niedrig,niedrig
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,niedrig,mittel,mittel,mittel,mittel,hoch,mittel,niedrig
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,hoch,hoch,niedrig,hoch,niedrig,niedrig,niedrig,hoch
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,mittel,hoch,niedrig,mittel,mittel,hoch,niedrig,niedrig
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74,mittel,niedrig,niedrig,hoch,niedrig,mittel,hoch,hoch
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53,niedrig,hoch,niedrig,hoch,niedrig,mittel,mittel,hoch
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21,hoch,niedrig,niedrig,hoch,niedrig,hoch,niedrig,niedrig
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,mittel,mittel,hoch,niedrig,hoch,hoch,mittel,niedrig
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28,46.68,hoch,mittel,mittel,niedrig,hoch,niedrig,hoch,niedrig
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,hoch,mittel,niedrig,hoch,niedrig,niedrig,niedrig,hoch
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14,29.59,niedrig,niedrig,hoch,niedrig,hoch,hoch,mittel,niedrig
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84,niedrig,hoch,hoch,hoch,hoch,niedrig,niedrig,niedrig
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.59,mittel,niedrig,niedrig,hoch,niedrig,mittel,mittel,hoch
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,niedrig,mittel,hoch,niedrig,mittel,mittel,mittel,niedrig
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84,mittel,niedrig,hoch,hoch,hoch,niedrig,niedrig,niedrig
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4,hoch,niedrig,niedrig,niedrig,hoch,niedrig,hoch,niedrig
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,niedrig,hoch,niedrig,mittel,niedrig,mittel,hoch,hoch
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28,22.35,niedrig,hoch,niedrig,mittel,niedrig,niedrig,hoch,niedrig
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,mittel,mittel,niedrig,hoch,niedrig,niedrig,niedrig,hoch
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45,hoch,niedrig,niedrig,mittel,niedrig,mittel,hoch,niedrig
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,mittel,hoch,niedrig,niedrig,hoch,mittel,mittel,niedrig
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13,hoch,niedrig,niedrig,mittel,niedrig,hoch,hoch,niedrig
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28,hoch,niedrig,niedrig,niedrig,mittel,niedrig,hoch,niedrig
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,mittel,mittel,mittel,hoch,mittel,niedrig,hoch,niedrig
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24,mittel,hoch,niedrig,mittel,niedrig,hoch,niedrig,niedrig
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42,hoch,mittel,mittel,niedrig,hoch,mittel,niedrig,niedrig
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68,niedrig,mittel,hoch,niedrig,mittel,mittel,hoch,hoch
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34,niedrig,niedrig,hoch,niedrig,mittel,hoch,hoch,hoch
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42,mittel,hoch,niedrig,mittel,mittel,mittel,niedrig,niedrig
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03,hoch,mittel,mittel,niedrig,hoch,mittel,niedrig,niedrig
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,niedrig,hoch,hoch,mittel,mittel,hoch,niedrig,hoch
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47,niedrig,niedrig,hoch,mittel,mittel,hoch,mittel,niedrig
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28,mittel,mittel,mittel,mittel,mittel,niedrig,mittel,niedrig
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85,hoch,niedrig,niedrig,mittel,niedrig,niedrig,mittel,hoch
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.58,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,mittel,niedrig,hoch,hoch,mittel,hoch,mittel,niedrig
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6,hoch,hoch,niedrig,niedrig,hoch,mittel,mittel,niedrig
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38,niedrig,hoch,niedrig,mittel,niedrig,niedrig,mittel,hoch
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7,14.2,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48,mittel,niedrig,hoch,hoch,mittel,hoch,mittel,niedrig
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,59.49,hoch,mittel,hoch,niedrig,hoch,mittel,mittel,niedrig
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4,hoch,hoch,niedrig,niedrig,hoch,niedrig,mittel,hoch
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68,niedrig,hoch,niedrig,mittel,niedrig,niedrig,hoch,niedrig
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,9.85,niedrig,mittel,hoch,hoch,mittel,mittel,mittel,niedrig
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53,hoch,niedrig,niedrig,hoch,niedrig,mittel,mittel,niedrig
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88,mittel,hoch,niedrig,mittel,niedrig,mittel,niedrig,niedrig
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95,mittel,niedrig,mittel,niedrig,hoch,mittel,hoch,hoch
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87,hoch,niedrig,niedrig,mittel,mittel,mittel,hoch,niedrig
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,hoch,hoch,niedrig,niedrig,hoch,mittel,mittel,hoch
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99,mittel,mittel,hoch,niedrig,hoch,hoch,mittel,hoch
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75,mittel,hoch,niedrig,niedrig,mittel,hoch,niedrig,niedrig
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88,niedrig,hoch,hoch,hoch,mittel,niedrig,niedrig,niedrig
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.79,niedrig,hoch,niedrig,hoch,hoch,niedrig,hoch,niedrig
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77,mittel,niedrig,hoch,mittel,mittel,hoch,mittel,niedrig
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,mittel,hoch,niedrig,niedrig,hoch,niedrig,hoch,hoch
